subsidy_id,is_synthetic,subsidy_name,subsidy_category,locality,lga_name,abs_lga_code,vicmap_lga_code,regional_group,area_type,anchor_osm_id,anchor_poi_name,anchor_poi_category,anchor_poi_subcategory,anchor_latitude,anchor_longitude,anchor_role,geographic_scope,applicant_type,occupation_restriction,benefit_type,max_amount_aud,payment_frequency,income_limit_aud_annual,income_assessment_unit,age_subject,age_min,age_max,new_resident_required,apply_within_days_of_move,minimum_move_distance_km,eligibility_summary,required_evidence,mock_application_open_date,mock_application_close_date,mock_status,mock_provider,official_source_url,application_url,source_type,generated_on,record_notice
MOCK-SUB-0001,true,[MOCK] Daylesford Community Participation Voucher,community,DAYLESFORD,HEPBURN,22910,329,Central Highlands,rural_council,n4009188096,Mount Franklin-St. George Lodge,community,community_centre,-37.3407045,144.1423826,context_only_not_provider,mock_locality,individual,none,voucher,200,one_off,,individual,applicant,18,,false,,,FICTIONAL TEST RULES: reside in DAYLESFORD (HEPBURN LGA). No income limit in this mock scenario. Local resident joining a community class or activity; registration confirmation required. Applicant aged at least 18.,Proof of identity and locality residence; Local resident joining a community class or activity; registration confirmation required.,2026-05-25,2026-11-23,mock_open,SERINEA Demo Support Office (fictional),,,synthetic_from_poi_context,2026-09-08,"Fictional subsidy for testing only. Real POI is a geographic anchor, not a participating provider. Not open government subsidy data."
MOCK-SUB-0002,true,[MOCK] Lucas Moving Expense Support,relocation,LUCAS,BALLARAT,20570,302,Central Highlands,regional_city,w1451257338,Lucas Lifestyle Estate,community,social_facility,-37.5484089,143.7842316,context_only_not_provider,mock_locality,household,none,reimbursement,2450,one_off,90000,household,applicant,18,,true,90,50,FICTIONAL TEST RULES: reside in LUCAS (BALLARAT LGA). Annual gross household income at most AUD 90000. Move at least 50 km and establish primary residence; moving receipts required. Apply within 90 days of moving. Applicant aged at least 18.,Proof of identity and locality residence; income evidence; Move at least 50 km and establish primary residence; moving receipts required.,2026-07-05,2027-05-03,mock_open,SERINEA Demo Support Office (fictional),,,synthetic_from_poi_context,2026-09-08,"Fictional subsidy for testing only. Real POI is a geographic anchor, not a participating provider. Not open government subsidy data."
MOCK-SUB-0003,true,[MOCK] Nathalia School Essentials Support,school_support,NATHALIA,MOIRA,24900,347,Goulburn,rural_council,w1104585685,OneSchool Global Nathalia Campus,education,school,-36.0599574,145.2016203,context_only_not_provider,mock_locality,household,none,voucher,200,one_off,75000,household,dependent_child,5,18,false,,,FICTIONAL TEST RULES: reside in NATHALIA (MOIRA LGA). Annual gross household income at most AUD 75000. Parent or guardian of student aged 5 to 18; enrolment and equipment quote required.,Proof of identity and locality residence; income evidence; Parent or guardian of student aged 5 to 18; enrolment and equipment quote required.,2026-06-15,2027-05-05,mock_open,SERINEA Demo Support Office (fictional),,,synthetic_from_poi_context,2026-09-08,"Fictional subsidy for testing only. Real POI is a geographic anchor, not a participating provider. Not open government subsidy data."
MOCK-SUB-0004,true,[MOCK] Eskdale Community Participation Voucher,community,ESKDALE,TOWONG,26670,367,Ovens Murray,rural_council,w701747827,Eskdale Community Hall,community,community_centre,-36.4642954,147.2525492,context_only_not_provider,mock_locality,individual,none,voucher,300,one_off,60000,individual,applicant,18,,false,,,FICTIONAL TEST RULES: reside in ESKDALE (TOWONG LGA). Annual gross individual income at most AUD 60000. Local resident joining a community class or activity; registration confirmation required. Applicant aged at least 18.,Proof of identity and locality residence; income evidence; Local resident joining a community class or activity; registration confirmation required.,2026-11-22,2027-05-07,mock_upcoming,SERINEA Demo Support Office (fictional),,,synthetic_from_poi_context,2026-09-08,"Fictional subsidy for testing only. Real POI is a geographic anchor, not a participating provider. Not open government subsidy data."
MOCK-SUB-0005,true,[MOCK] Kaniva Household Settling Support,housing_setup,KANIVA,WEST WIMMERA,26890,371,Wimmera Southern Mallee,rural_council,w1542868894,Kaniva Shire Hall,community,community_centre,-36.3787347,141.2414033,context_only_not_provider,mock_locality,household,none,reimbursement,2400,one_off,110000,household,applicant,18,,true,90,,FICTIONAL TEST RULES: reside in KANIVA (WEST WIMMERA LGA). Annual gross household income at most AUD 110000. New resident; tenancy at least 6 months; household essentials receipts required. Apply within 90 days of moving. Applicant aged at least 18.,Proof of identity and locality residence; income evidence; New resident; tenancy at least 6 months; household essentials receipts required.,2026-07-09,2026-12-26,mock_open,SERINEA Demo Support Office (fictional),,,synthetic_from_poi_context,2026-09-08,"Fictional subsidy for testing only. Real POI is a geographic anchor, not a participating provider. Not open government subsidy data."
MOCK-SUB-0006,true,[MOCK] Navarre Moving Expense Support,relocation,NAVARRE,NORTHERN GRAMPIANS,25810,357,Wimmera Southern Mallee,rural_council,w327343177,,community,community_centre,-36.9006189,143.1151421,context_only_not_provider,mock_locality,household,none,reimbursement,2150,one_off,90000,household,applicant,18,,true,90,50,FICTIONAL TEST RULES: reside in NAVARRE (NORTHERN GRAMPIANS LGA). Annual gross household income at most AUD 90000. Move at least 50 km and establish primary residence; moving receipts required. Apply within 90 days of moving. Applicant aged at least 18.,Proof of identity and locality residence; income evidence; Move at least 50 km and establish primary residence; moving receipts required.,2026-04-30,2027-01-02,mock_open,SERINEA Demo Support Office (fictional),,,synthetic_from_poi_context,2026-09-08,"Fictional subsidy for testing only. Real POI is a geographic anchor, not a participating provider. Not open government subsidy data."
MOCK-SUB-0007,true,[MOCK] Kennington Community Participation Voucher,community,KENNINGTON,GREATER BENDIGO,22620,325,Loddon Campaspe,regional_city,w1216492494,,community,community_centre,-36.7735612,144.3079665,context_only_not_provider,mock_locality,individual,none,voucher,300,one_off,75000,individual,applicant,18,,false,,,FICTIONAL TEST RULES: reside in KENNINGTON (GREATER BENDIGO LGA). Annual gross individual income at most AUD 75000. Local resident joining a community class or activity; registration confirmation required. Applicant aged at least 18.,Proof of identity and locality residence; income evidence; Local resident joining a community class or activity; registration confirmation required.,2026-05-23,2027-04-07,mock_open,SERINEA Demo Support Office (fictional),,,synthetic_from_poi_context,2026-09-08,"Fictional subsidy for testing only. Real POI is a geographic anchor, not a participating provider. Not open government subsidy data."
MOCK-SUB-0008,true,[MOCK] Newstead Early Years Participation Voucher,childcare,NEWSTEAD,MOUNT ALEXANDER,25430,353,Loddon Campaspe,rural_council,w31298142,Newstead Pre-school,education,kindergarten,-37.1061547,144.0599898,context_only_not_provider,mock_locality,household,none,voucher,850,one_off,90000,household,dependent_child,0,5,false,,,FICTIONAL TEST RULES: reside in NEWSTEAD (MOUNT ALEXANDER LGA). Annual gross household income at most AUD 90000. Parent or guardian of child aged 0 to 5; enrolment confirmation required.,Proof of identity and locality residence; income evidence; Parent or guardian of child aged 0 to 5; enrolment confirmation required.,2026-09-27,2027-02-13,mock_upcoming,SERINEA Demo Support Office (fictional),,,synthetic_from_poi_context,2026-09-08,"Fictional subsidy for testing only. Real POI is a geographic anchor, not a participating provider. Not open government subsidy data."
MOCK-SUB-0009,true,[MOCK] Beveridge Local Travel Voucher,transport,BEVERIDGE,MITCHELL,24850,346,Goulburn,rural_council,n10690797477,Golf Links Drive/Mandalay Circuit,public_transport,bus_stop,-37.4754515,144.9396925,context_only_not_provider,mock_locality,individual,none,voucher,650,one_off,45000,individual,applicant,18,,false,,,"FICTIONAL TEST RULES: reside in BEVERIDGE (MITCHELL LGA). Annual gross individual income at most AUD 45000. Local resident requiring travel support; proposed study, work or medical journey required. Applicant aged at least 18.","Proof of identity and locality residence; income evidence; Local resident requiring travel support; proposed study, work or medical journey required.",2026-10-20,2027-01-08,mock_upcoming,SERINEA Demo Support Office (fictional),,,synthetic_from_poi_context,2026-09-08,"Fictional subsidy for testing only. Real POI is a geographic anchor, not a participating provider. Not open government subsidy data."
MOCK-SUB-0010,true,[MOCK] Euroa Local Travel Voucher,transport,EUROA,STRATHBOGIE,26430,364,Goulburn,rural_council,n13918577526,Pranjip Rd/Euroa-Shepparton Rd,public_transport,bus_stop,-36.7149608,145.5320866,context_only_not_provider,mock_locality,individual,none,voucher,450,one_off,60000,individual,applicant,18,,false,,,"FICTIONAL TEST RULES: reside in EUROA (STRATHBOGIE LGA). Annual gross individual income at most AUD 60000. Local resident requiring travel support; proposed study, work or medical journey required. Applicant aged at least 18.","Proof of identity and locality residence; income evidence; Local resident requiring travel support; proposed study, work or medical journey required.",2026-08-04,2027-01-24,mock_open,SERINEA Demo Support Office (fictional),,,synthetic_from_poi_context,2026-09-08,"Fictional subsidy for testing only. Real POI is a geographic anchor, not a participating provider. Not open government subsidy data."
